bowler_id,elo,balls
Bowler_018,1515.74678611561,107
Bowler_013,1511.1562480674,12
Bowler_025,1510.2828317903,95
Bowler_031,1507.01326761455,93
Bowler_004,1506.94298922118,65
Bowler_021,1503.73736688754,36
Bowler_010,1502.25306186402,6
Bowler_005,1500.55812722281,85
Bowler_011,1500.53280836579,129
Bowler_028,1499.51116535778,122
Bowler_001,1499.35551137896,238
Bowler_027,1497.87599048045,9
Bowler_006,1497.13689251082,28
Bowler_015,1496.59152076332,192
Bowler_036,1496.36807014467,101
Bowler_019,1495.92954063652,114
Bowler_030,1494.74290501072,101
Bowler_032,1494.57464308667,206
Bowler_016,1492.03073330017,208
Bowler_033,1490.90748793189,120
Bowler_008,1490.77173954224,128
Bowler_007,1489.19863124373,112
Bowler_026,1489.0570236192,210
Bowler_035,1489.05474267828,137
Bowler_003,1487.35960535314,95
Bowler_017,1485.17237164354,160
Bowler_002,1483.58231545389,231
Bowler_012,1483.28437741788,136
Bowler_009,1482.91599047486,235
Bowler_023,1482.59800465487,133
Bowler_020,1482.17741915604,143
Bowler_029,1481.14124220721,109
Bowler_014,1479.302848073,51
Bowler_022,1470.47869755604,123
Bowler_034,1470.15712245164,216
Bowler_024,1466.01901749945,125
