striker_id,elo,balls
Batter_007,1542.03875520622,180
Batter_035,1535.39992251813,185
Batter_009,1535.22370410676,144
Batter_011,1527.48891326752,131
Batter_034,1526.37558892122,94
Batter_033,1524.98216201692,92
Batter_003,1522.58175554423,103
Batter_002,1519.78304110922,138
Batter_016,1518.67798732606,138
Batter_012,1518.65378753991,96
Batter_005,1517.55603307443,53
Batter_020,1516.32871137306,113
Batter_001,1516.24418860806,56
Batter_046,1515.36309513472,116
Batter_025,1513.65198324983,80
Batter_004,1512.78307456167,86
Batter_048,1511.37823948019,78
Batter_013,1510.00862108931,107
Batter_023,1509.11775036234,62
Batter_032,1508.44630786298,19
Batter_028,1506.87176984605,83
Batter_038,1505.9082798885,59
Batter_029,1504.25451932305,34
Batter_015,1503.47111908903,41
Batter_043,1502.77049316716,17
Batter_014,1502.43895344513,38
Batter_008,1501.77682474332,36
Batter_045,1501.54050077026,28
Batter_006,1501.25848549404,50
Batter_030,1500.54749870765,61
Batter_041,1499.70012266433,39
Batter_022,1498.3257412363,76
Batter_042,1498.05909980856,12
Batter_036,1498.02980657433,30
Batter_031,1496.21547269835,30
Batter_037,1495.97543804154,24
Batter_044,1495.69673571432,5
Batter_047,1495.20835736127,57
Batter_017,1494.11492239684,71
Batter_019,1494.08878858864,25
Batter_026,1494.07638433512,14
Batter_027,1494.01787466725,51
Batter_010,1493.25661233465,118
Batter_021,1491.07906663714,34
Batter_039,1490.98513182008,39
Batter_040,1490.15339735803,63
Batter_024,1487.09617622303,63
Batter_018,1485.9685543459,26
