striker_id,elo,balls,elo_vs_ref,reference_batter
Batter_009,1539.18427744876,175,28.651813522546,Batter_035
Batter_007,1531.15040440938,209,20.6179404831648,Batter_035
Batter_001,1529.62725291193,93,19.0947889857212,Batter_035
Batter_004,1528.30034442581,145,17.7678804996035,Batter_035
Batter_005,1525.06051038517,85,14.5280464589555,Batter_035
Batter_012,1523.43334061595,119,12.9008766897341,Batter_035
Batter_033,1522.10751827227,96,11.5750543460581,Batter_035
Batter_046,1520.30580337889,140,9.77333945268037,Batter_035
Batter_002,1519.78304110922,138,9.25057718301173,Batter_035
Batter_020,1516.32871137306,113,5.7962474468502,Batter_035
Batter_025,1516.0362259622,82,5.50376203599217,Batter_035
Batter_011,1513.50621453957,172,2.97375061335833,Batter_035
Batter_034,1512.50497132512,135,1.97250739890387,Batter_035
Batter_016,1511.70537397471,176,1.17291004850199,Batter_035
Batter_048,1511.37823948019,78,0.845775553981866,Batter_035
Batter_010,1510.65004192014,205,0.117577993929217,Batter_035
Batter_013,1510.00862108931,107,-0.523842836902077,Batter_035
Batter_030,1507.44488462017,88,-3.08757930603906,Batter_035
Batter_028,1506.84557211136,159,-3.6868918148532,Batter_035
Batter_008,1506.79595262659,63,-3.73651129962491,Batter_035
Batter_023,1502.7037648999,79,-7.82869902631569,Batter_035
Batter_003,1501.59627473248,153,-8.93618919373125,Batter_035
Batter_006,1501.25848549404,50,-9.27397843216932,Batter_035
Batter_038,1499.27321873698,108,-11.2592451892344,Batter_035
Batter_022,1498.3257412363,76,-12.2067226899164,Batter_035
Batter_014,1496.84496016969,57,-13.6875037565214,Batter_035
Batter_017,1496.79336034808,132,-13.7391035781295,Batter_035
Batter_021,1496.34747404072,72,-14.1849898854889,Batter_035
Batter_045,1496.32320385193,58,-14.2092600742826,Batter_035
Batter_047,1495.20835736127,57,-15.3241065649409,Batter_035
Batter_036,1494.86657100366,65,-15.6658929225473,Batter_035
Batter_031,1494.51059453258,73,-16.0218693936324,Batter_035
Batter_039,1491.65539297177,61,-18.8770709544419,Batter_035
Batter_040,1488.66774178064,112,-21.8647221455738,Batter_035
Batter_018,1488.49422792758,64,-22.0382359986297,Batter_035
Batter_027,1488.46662659491,55,-22.0658373312972,Batter_035
Batter_024,1487.09617622303,63,-23.4362877031788,Batter_035
